¿°»ö»öÂ÷ DL,¿°»ö»öÂ÷ DA,¿°»ö»öÂ÷ DB,¿°»ö»öÂ÷ DC,¿°»ö»öÂ÷ DH,¿°»ö»öÂ÷ DE
0.09075165,0.4965076,-0.100625,-0.501482,-0.07184041,0.514666
-13.88744,-13.07003,28.32429,-31.14793,1.702099,34.14604
-13.88744,-13.07003,28.32429,-31.14793,1.702099,34.14604
-0.1664619,-0.03644848,-0.2465429,0.1901617,-0.1610914,0.2997023
-14.28138,-13.09517,28.45337,-31.27147,1.781215,34.42435
-14.28138,-13.09517,28.45337,-31.27147,1.781215,34.42435
-13.881,-12.91342,28.35415,-31.09196,2.001003,34.10859
-13.881,-12.91342,28.35415,-31.09196,2.001003,34.10859
-0.5664597,0.1144104,-0.05661774,0.0464859,-0.118888,0.580665
-1.85833,-0.4526367,-1.435822,-1.298965,-0.7610203,2.391621
-1.323074,0.1948776,-0.4028549,-0.1264572,-0.4292759,1.396709
-14.39693,-12.87335,28.6865,-31.35143,2.39291,34.58193
-14.39693,-12.87335,28.6865,-31.35143,2.39291,34.58193
-14.29967,-12.80284,28.71206,-31.33437,2.540172,34.53658
-14.29967,-12.80284,28.71206,-31.33437,2.540172,34.53658
-0.637207,0.128314,-0.05431175,0.1147528,0.07903215,0.652263
-0.354805,0.190109,-0.7775898,-0.7858133,-0.1525936,0.8755992
1.133057,0.6334782,-3.193009,-3.248258,0.2131172,3.446798
0.2518845,0.4585981,-2.157295,-2.204149,0.07720508,2.219837
0.2518845,0.4585981,-2.157295,-2.204149,0.07720508,2.219837
4.773087,-3.216594,0.6580467,-1.109493,-3.090069,5.79326
0.2285881,-0.9723902,0.5496979,-0.7110405,-0.8614706,1.140159
1.484035,-1.287073,0.1271858,-0.3430328,-1.247021,1.968526
1.056938,-1.025051,0.5084534,-0.6788254,-0.9211134,1.557682
0.2515373,-0.7398429,0.5447769,-0.6677094,-0.6311209,0.9525862
0.1761322,-0.7345676,0.5062943,-0.628891,-0.6327872,0.9093657
0.2448845,0.680089,-0.3359184,0.394413,0.6479202,0.7970763
-0.2341118,0.7176101,-0.2673416,0.3239021,0.6939188,0.8007773
-15.05922,-13.09464,28.00722,-30.88713,1.363427,34.38973
-15.05922,-13.09464,28.00722,-30.88713,1.363427,34.38973
0.7154675,0.2135706,-0.5539532,0.5829697,-0.1123515,0.9297151
-13.44799,-12.85725,27.05199,-29.93806,0.9122375,32.83242
-13.44799,-12.85725,27.05199,-29.93806,0.9122375,32.83242
-13.02508,-12.74128,27.56799,-30.32975,1.562142,33.04522
-13.02508,-12.74128,27.56799,-30.32975,1.562142,33.04522
-13.67204,-12.72936,28.1959,-30.8603,2.164992,33.82262
-13.67204,-12.72936,28.1959,-30.8603,2.164992,33.82262
-13.64749,-12.7192,28.27175,-30.91903,2.254709,33.87217
-13.64749,-12.7192,28.27175,-30.91903,2.254709,33.87217
-0.3590012,-2.931091,-2.873901,-4.102112,-0.1525926,4.120617
4.256149,-9.064764,-13.34667,15.41781,-4.753379,16.68587
4.252535,-8.857609,-13.21348,15.20161,-4.686595,16.46625
-1.452652,0.942379,-0.08801222,0.9464779,-0.001987858,1.733788
-1.621147,0.2408915,0.09537935,0.2317305,0.1158743,1.64172
-1.461533,-0.3988447,0.4272103,-0.429944,0.3958963,1.574059
-1.867302,-0.5440416,0.4300356,-0.5750504,0.3875935,1.991916
1.11702,0.07390976,-1.100242,1.083011,-0.2075651,1.569627
-1.797462,0.2871454,-0.1853585,-0.3235703,-0.1100575,1.829667
-0.1976776,0.197649,-0.1860738,0.05976725,-0.2647951,0.335805
0.4547119,0.2520084,-0.2345562,0.0794096,-0.334991,0.57034
-0.7933636,-0.3865287,-0.504601,0.6251235,-0.1150964,1.016589
